Jahr;Sachgebiet;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2017;Dissemination of Pornographic Publications;185;224;83;37;30;10;123;31;270;497;81;30;99;29;14;68
2017;Assault;8769;12890;4511;2006;932;2412;5002;1635;7170;18876;3292;1163;3979;1853;1961;2362
2017;Theft and Embezzlement;10893;12841;7784;3830;2144;3339;7784;2484;10777;38937;4099;1569;8390;3464;4219;3672
2017;Fraud;7287;11564;5183;2531;1031;1699;5889;2263;8838;34677;4203;1242;6413;2294;2040;3023
2017;Negligent Vehicular Homicide;651;871;155;194;20;177;397;74;876;1101;435;60;394;146;32;332
2017;Other Traffic Violations;12614;15555;5996;3894;655;2130;7321;2019;7361;26758;4172;1605;5309;2605;2103;2837
2017;White-Collar Crime;563;1476;1526;970;57;110;630;179;504;1729;253;75;580;137;162;186
2017;Tax Offenses;298;760;345;163;25;181;289;64;416;1455;123;34;214;96;85;81
2017;Money Laundering;86;113;73;18;17;29;42;3;66;94;33;3;37;7;12;7
2017;Environmental Crimes;150;119;55;19;7;57;80;19;196;242;48;9;20;55;12;22
2017;Corruption;9;12;12;12;2;7;14;0;54;28;1;0;5;5;3;1
2017;Murder by Police;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017;Police Brutality;4;8;0;0;0;1;1;2;1;10;0;1;4;1;0;1
2017;Abuse of Authority;7;3;0;0;0;0;0;0;0;7;0;0;0;0;0;1
2017;Migrant Smuggling;24;209;9;27;1;2;27;4;9;55;3;9;54;1;2;1
2017;Total;61892;88735;36284;19201;6740;15019;39153;12383;52739;183666;25573;8101;35020;14739;16323;18636
2018;Dissemination of Pornographic Publications;211;255;105;52;30;9;162;33;261;490;78;32;142;42;25;83
2018;Assault;9099;12582;4405;2079;981;2396;5040;1505;7050;18282;3421;1107;3886;1674;1950;2405
2018;Theft and Embezzlement;11154;12258;7529;3680;1981;3138;7260;2299;10171;34983;3941;1815;7797;3309;4027;3474
2018;Fraud;7840;10318;4533;2676;1305;1833;5558;2187;8533;32040;4122;1306;6133;2133;2239;3231
2018;Negligent Vehicular Homicide;754;840;208;192;40;140;397;82;944;1102;462;63;431;151;32;310
2018;Other Traffic Violations;13260;14967;5822;4041;759;2254;7468;1943;7422;26328;4424;1793;4892;2497;1964;2961
2018;White-Collar Crime;600;1432;1213;821;60;98;552;197;558;1672;211;76;527;140;187;183
2018;Tax Offenses;344;799;373;158;29;184;368;88;501;1543;98;47;285;85;140;79
2018;Money Laundering;80;103;75;11;26;24;41;5;67;128;21;2;36;13;4;13
2018;Environmental Crimes;163;108;87;16;13;53;82;19;191;246;35;9;32;54;8;24
2018;Corruption;11;9;17;2;1;12;4;0;45;19;2;1;8;1;0;14
2018;Murder by Police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Police Brutality;2;2;0;0;0;1;3;1;3;6;1;0;2;4;0;1
2018;Abuse of Authority;3;1;0;0;0;0;2;1;3;6;2;0;1;0;0;1
2018;Migrant Smuggling;22;172;15;16;3;3;10;4;11;46;5;4;31;0;4;3
2018;Total;65844;87132;35022;19985;7142;15133;38773;11975;52631;176900;26138;9049;34170;14090;16219;19366
2019;Dissemination of Pornographic Publications;267;335;108;44;33;9;213;42;285;585;87;28;145;29;78;70
2019;Assault;9538;12012;4433;2052;937;2450;5198;1442;7123;18300;3400;1179;4186;1940;2110;2495
2019;Theft and Embezzlement;10405;11173;7939;3404;1930;3212;6968;2081;9904;33339;3852;1571;7919;3159;4379;3232
2019;Fraud;7907;10236;3890;2391;1128;1806;5394;2152;8525;32282;3944;1299;6040;2095;2457;3149
2019;Negligent Vehicular Homicide;840;930;324;191;31;65;451;105;830;1233;494;66;514;145;38;161
2019;Other Traffic Violations;13520;15729;5837;3893;714;2550;7504;2017;7743;27817;4602;1807;5257;2482;2190;2993
2019;White-Collar Crime;608;1342;1262;730;56;74;589;180;569;1775;241;50;534;155;177;195
2019;Tax Offenses;284;804;315;171;43;186;381;103;497;1401;104;53;332;70;127;78
2019;Money Laundering;88;127;66;20;33;25;50;6;57;157;17;5;46;7;2;17
2019;Environmental Crimes;185;120;68;12;7;49;65;20;250;203;66;4;27;46;4;23
2019;Corruption;11;23;14;10;1;13;6;0;96;18;3;0;6;2;0;4
2019;Murder by Police;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2019;Police Brutality;4;3;0;0;0;0;3;0;4;7;0;0;3;1;1;2
2019;Abuse of Authority;2;3;0;0;1;0;1;0;4;11;4;0;1;0;1;0
2019;Migrant Smuggling;26;157;10;21;2;4;12;2;9;35;6;16;27;1;3;2
2019;Total;68482;87615;35049;19229;6854;15733;39018;12178;53557;180015;26778;9139;36512;14287;17628;19263