Jahr;Stadtteil (zusammengefasst);Fälle erfasst;Fälle aufgeklärt;Tatverdächtige insgesamt
2020;01 Innere Altstadt;1858;1180;988
2020;02 Pirnaische Vorstadt;672;359;378
2020;03 Seevorstadt-Ost/Großer Garten;3607;2632;2073
2020;04 Wilsdruffer Vorstadt/Seevorstadt-West;1425;742;631
2020;05 Friedrichstadt;2541;1569;1391
2020;06 Johannstadt-Nord;994;375;332
2020;07 Johannstadt-Süd;883;413;365
2020;11 Äußere Neustadt (Antonstadt);3065;1546;1166
2020;12 Radeberger Vorstadt;568;253;214
2020;13 Innere Neustadt;1475;798;651
2020;14 Leipziger Vorstadt;1367;605;549
2020;15 Albertstadt;528;344;328
2020;21 Pieschen-Süd;960;483;410
2020;22 Mickten;862;536;459
2020;23 Kaditz;623;364;364
2020;24 Trachau;591;274;241
2020;25 Pieschen-Nord/Trachenberge;773;422;378
2020;31 Flughafen/Industriegebiet Klotzsche;689;418;370
2020;32 Hellerau/Wilschdorf;160;72;81
2020;35 Weixdorf;157;72;68
2020;36 Langebrück/Schönborn;62;39;38
2020;41 Loschwitz/Wachwitz;280;107;95
2020;42 Bühlau/Weißer Hirsch;324;146;143
2020;43 Hosterwitz/Pillnitz;76;34;37
2020;45 Weißig;193;103;95
2020;46 Gönnsdorf/Pappritz;56;30;24
2020;47 Schönfeld/Schullwitz;44;27;22
2020;51 Blasewitz;584;273;225
2020;52 Striesen-Ost;504;263;211
2020;53 Striesen-Süd;628;278;249
2020;54 Striesen-West;560;237;200
2020;55 Tolkewitz/Seidnitz-Nord;197;47;38
2020;56 Seidnitz/Dobritz;1053;584;514
2020;57 Gruna;479;230;202
2020;61 Leuben;880;498;466
2020;62 Laubegast;432;193;183
2020;63 Kleinzschachwitz;190;66;68
2020;64 Großzschachwitz;323;151;136
2020;71 Prohlis-Nord;686;429;333
2020;72 Prohlis-Süd;640;410;300
2020;73 Niedersedlitz;282;127;118
2020;74 Lockwitz;512;305;265
2020;75 Leubnitz-Neuostra;417;222;190
2020;76 Strehlen;959;507;437
2020;77 Reick;470;293;262
2020;81 Südvorstadt-West;1510;795;724
2020;82 Südvorstadt-Ost;504;206;190
2020;83 Räcknitz/Zschertnitz;421;189;171
2020;84 Kleinpestitz/Mockritz;251;137;118
2020;85 Coschütz/Gittersee;196;96;82
2020;86 Plauen;440;154;140
2020;90 Cossebaude/Mobschatz/Oberw.;274;173;169
2020;91 Cotta;725;411;362
2020;92 Löbtau-Nord;877;496;407
2020;93 Löbtau-Süd;1017;556;486
2020;94 Naußlitz;484;273;214
2020;95 Gorbitz-Süd;920;649;481
2020;96 Gorbitz-Ost;539;371;279
2020;97 Gorbitz-Nord/Neu-Omsewitz;784;482;410
2020;98 Briesnitz;493;250;212
2020;99 Altfranken/Gompitz;181;85;81
2020;StB 0 Altstadt;11980;7270;6158
2020;StB 1 Neustadt;7003;3546;2908
2020;StB 2 Pieschen;3809;2079;1852
2020;StB 3 Klotzsche/nördliche Ortschaften;1068;601;557
2020;StB 4 Loschwitz/OS Schönfeld-Weißig;973;447;416
2020;StB 5 Blasewitz;4005;1912;1639
2020;StB 6 Leuben;1825;908;853
2020;StB 7 Prohlis;3966;2293;1905
2020;StB 8 Plauen;3322;1577;1425
2020;StB 9 Cotta/westliche Ortschaften;6294;3746;3101
2020;Insgesamt;48929;28370;16328